update,env_steps,mean_reward,mean_reward_ext,mean_reward_int,value_loss,policy_loss,entropy,rep_loss,alpha,p_succ_hat,int_sigma,success_rate,two_critic
1,4096,1.617917776107788,0.005859375,0.4952297508716583,278.91668701171875,-0.043013088405132294,1.3732073307037354,1.440503716468811,0.95,0.05,0.2918431758880615,0.53125,0.0
2,8192,1.4180238246917725,0.001953125,0.45797351002693176,200.14675903320312,0.012629730626940727,1.3477544784545898,1.429640769958496,0.9025,0.0975,0.2918788423619492,0.21875,0.0
3,12288,1.4142615795135498,0.002685546875,0.45689454674720764,198.02700805664062,-0.04139913618564606,1.3194299936294556,1.4389011859893799,0.857375,0.142625,0.27751250247783676,0.25,0.0
4,16384,1.3255796432495117,0.0009765625,0.44776850938796997,158.12667846679688,0.023546863347291946,1.3270338773727417,1.4589933156967163,0.81450625,0.18549375,0.2753355082057561,0.125,0.0
5,20480,1.2539515495300293,0.000244140625,0.4428902268409729,144.47378540039062,-0.004217498004436493,1.3548262119293213,1.4402409791946411,0.7737809375,0.2262190625,0.2733492498457696,0.03125,0.0
6,24576,1.2219396829605103,0.001953125,0.44978803396224976,134.51515197753906,-0.02126448228955269,1.366058111190796,1.4198225736618042,0.735091890625,0.264908109375,0.27101574818939095,0.21875,0.0
7,28672,1.1652858257293701,0.001220703125,0.45013195276260376,115.41442108154297,0.008719263598322868,1.3450605869293213,1.3933966159820557,0.6983372960937501,0.30166270390624994,0.27003978808768875,0.15625,0.0
8,32768,1.194587230682373,0.0,0.4506368041038513,117.21814727783203,-0.000547715462744236,1.35893976688385,1.3950129747390747,0.7134204312890626,0.2865795687109374,0.2691251846750615,0.0,0.0
9,36864,1.164725661277771,0.002685546875,0.46121907234191895,104.43359375,0.014312567189335823,1.3713867664337158,1.392408847808838,0.6777494097246095,0.32225059027539055,0.26900183800599087,0.28125,0.0
10,40960,1.0815035104751587,0.0009765625,0.451778382062912,91.15001678466797,0.0033267587423324585,1.379549264907837,1.3778926134109497,0.6438619392383791,0.35613806076162097,0.2692046834277579,0.125,0.0
11,45056,1.0344500541687012,0.001220703125,0.4532935619354248,85.99569702148438,-0.007651977241039276,1.3759546279907227,1.3918311595916748,0.6116688422764601,0.3883311577235399,0.2683484733440797,0.15625,0.0
12,49152,1.0293256044387817,0.00537109375,0.47213268280029297,71.8593521118164,-0.021589767187833786,1.371811866760254,1.4069337844848633,0.5810854001626371,0.41891459983736284,0.2679312285553715,0.40625,0.0
13,53248,0.9380457401275635,0.002197265625,0.4554142355918884,67.12360382080078,0.020135145634412766,1.3699414730072021,1.3636034727096558,0.5520311301545053,0.44796886984549467,0.2686362736954961,0.28125,0.0
14,57344,0.8936848640441895,0.001708984375,0.4562932848930359,59.34723663330078,-0.003893444314599037,1.3731709718704224,1.3953949213027954,0.5244295736467801,0.4755704263532199,0.26827374068720033,0.21875,0.0
15,61440,0.8513289093971252,0.001220703125,0.4572443664073944,54.85722732543945,0.02123638615012169,1.3468540906906128,1.3737596273422241,0.4982080949644411,0.5017919050355589,0.26796924152727153,0.15625,0.0
16,65536,0.7953964471817017,0.000244140625,0.4500918388366699,53.5262336730957,0.005664795637130737,1.3615291118621826,1.3618851900100708,0.47329769021621904,0.526702309783781,0.26790770773731204,0.03125,0.0
17,69632,0.7539575099945068,0.001220703125,0.44800883531570435,51.964027404785156,0.017895549535751343,1.338430643081665,1.3806231021881104,0.4496328057054081,0.5503671942945919,0.26760941505112934,0.15625,0.0
18,73728,0.7136626243591309,0.000244140625,0.44625580310821533,53.78179168701172,-0.039254844188690186,1.338474154472351,1.3704910278320312,0.42715116542013765,0.5728488345798624,0.267190561347703,0.03125,0.0
19,77824,0.6908574104309082,0.0009765625,0.45396888256073,53.01156234741211,-0.01328993309289217,1.3458154201507568,1.3728742599487305,0.4057936071491307,0.5942063928508693,0.26702824881741594,0.125,0.0
20,81920,0.6470990180969238,0.00048828125,0.4481056332588196,46.21609878540039,-0.07065895199775696,1.3516267538070679,1.3795316219329834,0.3855039267916741,0.6144960732083259,0.2671568291323084,0.0625,0.0
21,86016,0.6189743280410767,0.001220703125,0.4501580595970154,48.27543258666992,-0.009368372149765491,1.3559051752090454,1.3844671249389648,0.36622873045209037,0.6337712695479096,0.26687145646011423,0.15625,0.0
22,90112,0.5927510261535645,0.00146484375,0.4532549977302551,45.16844177246094,-0.00039845705032348633,1.354505181312561,1.3801590204238892,0.3479172939294858,0.6520827060705142,0.2666986559122411,0.1875,0.0
23,94208,0.5615423321723938,0.000244140625,0.45303648710250854,40.659942626953125,0.014484822750091553,1.3481687307357788,1.3796586990356445,0.33052142923301153,0.6694785707669885,0.2667713404842813,0.03125,0.0
24,98304,0.5405716300010681,0.0029296875,0.45671045780181885,38.749961853027344,-0.01897801272571087,1.3166584968566895,1.353719711303711,0.3139953577713609,0.6860046422286391,0.2667295164451018,0.28125,0.0
25,102400,0.499624639749527,0.0009765625,0.4459560215473175,34.80751419067383,-0.030477581545710564,1.2853765487670898,1.3663371801376343,0.2982955898827928,0.7017044101172072,0.26677474986846506,0.09375,0.0
26,106496,0.46826618909835815,0.000244140625,0.440742552280426,29.028480529785156,-0.013331553898751736,1.2973387241363525,1.3655495643615723,0.28338081038865315,0.7166191896113469,0.26686346293025115,0.03125,0.0
27,110592,0.4494330883026123,0.000732421875,0.4448612928390503,28.801990509033203,0.017879795283079147,1.3150217533111572,1.3608382940292358,0.26921176986922046,0.7307882301307795,0.2669082305117753,0.09375,0.0
28,114688,0.4254264235496521,0.00048828125,0.4435935616493225,24.583393096923828,-0.016376949846744537,1.3580806255340576,1.3827106952667236,0.2557511813757595,0.7442488186242405,0.2669790797598563,0.0625,0.0
29,118784,0.40892574191093445,0.000244140625,0.44912290573120117,23.872234344482422,0.07170932739973068,1.3509132862091064,1.3507671356201172,0.24296362230697144,0.7570363776930286,0.2670062058507464,0.03125,0.0
30,122880,0.3919050097465515,0.001953125,0.4507142901420593,20.601146697998047,-0.0197446346282959,1.3094813823699951,1.3694778680801392,0.2308154411916229,0.7691845588083771,0.26678118719023514,0.1875,0.0
31,126976,0.36662182211875916,0.00048828125,0.4455256760120392,18.4989070892334,-0.009978551417589188,1.2902491092681885,1.3795580863952637,0.21927466913204174,0.7807253308679583,0.26682204679117977,0.0625,0.0
32,131072,0.34391921758651733,0.000732421875,0.43967700004577637,16.447179794311523,-0.006869274191558361,1.2734720706939697,1.348861813545227,0.20831093567543968,0.7916890643245603,0.26687951640425456,0.09375,0.0
33,135168,0.40435194969177246,0.0,0.43534964323043823,16.69851303100586,-0.03643234819173813,1.2981374263763428,1.3529233932495117,0.24789538889166773,0.7521046111083323,0.26689907450271544,0.0,0.0
34,139264,0.3921580910682678,0.000244140625,0.44429707527160645,17.900135040283203,0.0015569403767585754,1.2416207790374756,1.364052653312683,0.23550061944708434,0.7644993805529157,0.26697757869850164,0.03125,0.0
35,143360,0.3649258017539978,0.00048828125,0.43507301807403564,17.11937141418457,0.016917064785957336,1.328822374343872,1.37015700340271,0.22372558847473012,0.7762744115252699,0.2670882079930778,0.0625,0.0
36,147456,0.3535270690917969,0.00048828125,0.4438043236732483,16.45580291748047,-0.01632688008248806,1.33597731590271,1.3453420400619507,0.2125393090509936,0.7874606909490064,0.2671827488926287,0.0625,0.0
37,151552,0.33673563599586487,0.00048828125,0.4447908103466034,14.790830612182617,0.030336888507008553,1.3607604503631592,1.3920230865478516,0.2019123435984439,0.7980876564015561,0.2670913287259134,0.0625,0.0
38,155648,0.32937705516815186,0.001708984375,0.45618757605552673,14.458168983459473,0.05174164101481438,1.3642001152038574,1.3665742874145508,0.19181672641852165,0.8081832735814783,0.26705198245468054,0.1875,0.0
39,159744,0.30831244587898254,0.00048828125,0.45120668411254883,13.013969421386719,-0.009599044919013977,1.3605999946594238,1.3519227504730225,0.1822258900975956,0.8177741099024044,0.2671055283470775,0.0625,0.0
40,163840,0.2928227186203003,0.000732421875,0.45049428939819336,11.34727668762207,-0.01962399296462536,1.351210594177246,1.348616600036621,0.1731145955927158,0.8268854044072842,0.266996640393062,0.09375,0.0
