metric,value
coord_only_vs_coord_plus_nuisance,1.0
coord_only_vs_crtr_learned,1.0
coord_only_vs_idm_learned,1.0
coord_only_vs_crtr_online_joint,1.0
coord_only_vs_idm_online_joint,1.0
coord_plus_nuisance_vs_crtr_learned,0.2871356014070119
coord_plus_nuisance_vs_idm_learned,0.3057887769616294
coord_plus_nuisance_vs_crtr_online_joint,0.28808029797761203
coord_plus_nuisance_vs_idm_online_joint,0.28710896841675027
crtr_learned_vs_idm_learned,1.0
crtr_learned_vs_crtr_online_joint,1.0
crtr_learned_vs_idm_online_joint,0.9999530325279062
idm_learned_vs_crtr_online_joint,0.9694782881512203
idm_learned_vs_idm_online_joint,0.9677686367652198
crtr_online_joint_vs_idm_online_joint,0.9982890112174059
